[16:42:31] [main/INFO]: Loading Minecraft 1.19.2 with Quilt Loader 0.17.7
[16:42:31] [main/INFO]: Loading mappings: jar:file:/C:/Users/lokosapa/Downloads/la/server/libraries/net/fabricmc/intermediary/1.19.2/intermediary-1.19.2.jar!/mappings/mappings.tiny
[16:42:31] [main/INFO]: Loading 3 mods:
| Index | Mod                               | ID            | Version  |
|------:|-----------------------------------|---------------|----------|
|     1 | Java HotSpot(TM) 64-Bit Server VM | java          | 17       |
|     0 | Minecraft                         | minecraft     | 1.19.2   |
|     2 | Quilt Loader                      | quilt_loader  | 0.17.7   |
|------:|-----------------------------------|---------------|----------|
[16:42:31] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=file:/C:/Users/lokosapa/Downloads/la/server/libraries/net/fabricmc/sponge-mixin/0.11.4+mixin.0.8.5/sponge-mixin-0.11.4+mixin.0.8.5.jar Service=Knot/Quilt Env=SERVER
[16:42:36] [main/INFO]: Building unoptimized datafixer
[16:42:38] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[16:42:40] [main/INFO]: Loaded 7 recipes
[16:42:40] [main/INFO]: Loaded 1179 advancements
[16:42:41] [Server thread/INFO]: Starting minecraft server version 1.19.2
[16:42:41] [Server thread/INFO]: Loading properties
[16:42:41] [Server thread/INFO]: Default game type: SURVIVAL
[16:42:41] [Server thread/INFO]: Generating keypair
[16:42:42] [Server thread/INFO]: Starting Minecraft server on *:25565
[16:42:42] [Server thread/INFO]: Using default channel type
[16:42:42] [Server thread/INFO]: Preparing level "world"
[16:42:58] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[16:42:59] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:42:59] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:42:59] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:43:00] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[16:43:00] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:43:01] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[16:43:01] [Worker-Main-3/INFO]: Preparing spawn area: 1%
[16:43:02] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[16:43:02] [Worker-Main-2/INFO]: Preparing spawn area: 2%
[16:43:03] [Worker-Main-1/INFO]: Preparing spawn area: 3%
[16:43:03] [Worker-Main-3/INFO]: Preparing spawn area: 4%
[16:43:04] [Worker-Main-2/INFO]: Preparing spawn area: 5%
[16:43:04] [Worker-Main-2/INFO]: Preparing spawn area: 7%
[16:43:05] [Worker-Main-2/INFO]: Preparing spawn area: 9%
[16:43:05] [Worker-Main-2/INFO]: Preparing spawn area: 10%
[16:43:06] [Worker-Main-3/INFO]: Preparing spawn area: 13%
[16:43:06] [Worker-Main-1/INFO]: Preparing spawn area: 14%
[16:43:07] [Worker-Main-3/INFO]: Preparing spawn area: 17%
[16:43:07] [Worker-Main-2/INFO]: Preparing spawn area: 19%
[16:43:08] [Worker-Main-1/INFO]: Preparing spawn area: 21%
[16:43:08] [Worker-Main-2/INFO]: Preparing spawn area: 22%
[16:43:09] [Worker-Main-2/INFO]: Preparing spawn area: 25%
[16:43:09] [Worker-Main-2/INFO]: Preparing spawn area: 27%
[16:43:10] [Worker-Main-1/INFO]: Preparing spawn area: 30%
[16:43:10] [Worker-Main-3/INFO]: Preparing spawn area: 32%
[16:43:11] [Worker-Main-2/INFO]: Preparing spawn area: 34%
[16:43:11] [Worker-Main-1/INFO]: Preparing spawn area: 37%
[16:43:12] [Worker-Main-3/INFO]: Preparing spawn area: 39%
[16:43:12] [Worker-Main-1/INFO]: Preparing spawn area: 42%
[16:43:13] [Worker-Main-2/INFO]: Preparing spawn area: 44%
[16:43:13] [Worker-Main-3/INFO]: Preparing spawn area: 48%
[16:43:14] [Worker-Main-2/INFO]: Preparing spawn area: 49%
[16:43:14] [Worker-Main-3/INFO]: Preparing spawn area: 52%
[16:43:15] [Worker-Main-3/INFO]: Preparing spawn area: 55%
[16:43:15] [Worker-Main-1/INFO]: Preparing spawn area: 57%
[16:43:16] [Worker-Main-3/INFO]: Preparing spawn area: 59%
[16:43:16] [Worker-Main-2/INFO]: Preparing spawn area: 62%
[16:43:17] [Worker-Main-2/INFO]: Preparing spawn area: 65%
[16:43:17] [Worker-Main-3/INFO]: Preparing spawn area: 69%
[16:43:18] [Worker-Main-3/INFO]: Preparing spawn area: 70%
[16:43:18] [Worker-Main-2/INFO]: Preparing spawn area: 73%
[16:43:19] [Worker-Main-2/INFO]: Preparing spawn area: 75%
[16:43:19] [Worker-Main-1/INFO]: Preparing spawn area: 78%
[16:43:20] [Worker-Main-3/INFO]: Preparing spawn area: 81%
[16:43:20] [Worker-Main-1/INFO]: Preparing spawn area: 83%
[16:43:21] [Worker-Main-3/INFO]: Preparing spawn area: 85%
[16:43:21] [Worker-Main-1/INFO]: Preparing spawn area: 88%
[16:43:22] [Worker-Main-2/INFO]: Preparing spawn area: 91%
[16:43:22] [Worker-Main-2/INFO]: Preparing spawn area: 94%
[16:43:23] [Worker-Main-2/INFO]: Preparing spawn area: 97%
[16:43:23] [Server thread/INFO]: Time elapsed: 24862 ms
[16:43:23] [Server thread/INFO]: Done (41.127s)! For help, type "help"
